id,title,body,project,standard1,standard2,standard3,standard4,standard5
6,6. หัวข้อ,,1,,,,,
7,7. หัวข้อ,,1,,,,,
8,8. หัวข้อ,,1,,,,,
9,9. หัวข้อ,,1,,,,,
10,10. หัวข้อ,,1,,,,,
3,3. ผ้ากับการดำรงชีวิต<br>3.1 การแตกายของชนชาติต่างๆ<br>3.2 ความเชื่อเกี่ยวกับผ้า<br>3.3 พิธีกรรมและงานประเพณี<br>3.4 การใช้ผ้าในชีวิตประจำวัน,,1,ว 2.1: อธิบายความสัมพันธ์ของสิ่งแวดล้อมในท้องถิ่นที่มีผลต่อการใช้ผ้าในชีวิตประจำวัน<br>ว 2.2: อภิปรายและนำเสนอการใช้ทรัพยากรทางธรรมชาติเพื่อนำมาผลิตเป็นผ้า และใช้ผ้าได้อย่างประยัด คุ้มค่า เหมาะสม ลดปัญหาสิ่งแวดล้อม<br>ว 3.1: อธิบายการใช้ประโยชน์ของผ้าแต่ละชนิดได้&nbsp;,ส 2.1 เข้าใจบทบาทหน้าที่ สิทธิ เสรีภาพ ของตนเอง และผู้อื่นในการทำกิจกรรม หรือการดำรงชีวิต อยู่ร่วมกันในสังคม ตามหลักศาสนา วัฒนธรรมและความเชื่อ<br>ส 4.2: สรุปลักษณะที่สำคัญของขนบธรรมเนียมประเณี และวัฒนธรรมของชุมชน ที่มีผล่อการแต่งกายและความเชื่อที่เกี่ยวข้องกับผ้า<br>ส 5.3: อธิบายการแต่งกายในยุคสมัยต่างๆได้,ง 1.1: เข้าใจความหมาย ความสำคัญของประโยชน์ วิธีการ ขั้นตอนในการทำงาน และสามารถทำงานตามขั้นตอน มีความรับผิดชอบ ขยัน มีทักษะกระบวนการทำงานและการจัดการการทำงานเป็นกลุ่ม การแสวงหาความรู้ สามารถแก้ปัญหาในการทำงาน รักการทำงาน และมีเจตคติที่ดีต่องาน<br>-เลือกใช้ผ้าในชีวิตประจำวันได้อย่างสร้างสรรค์ และมีการนำกลับมาใช้ซ้ำหรือสร้างสรรค์ เพื่อให้คุ้มค่า,พ 4.1: เห็นคุณค่าและมีทักษะในการสร้างเสริมสุขภาพโดยการเลือกแต่งกายได้อย่างเหมาะสม,
2,2. ทำอย่างไรให้เสื้อผ้าสะอาดและสวยงาม,2.1 การเลือกใช้เสื้อผ้า <br> 2.2 การตัดเย็บผ้า<br>2.3 ลวดลายของผ้า<br>2.4 การซัก รีด และจัดเก็บ<br>2.5 การซ่อมแซม,1,ว 1.2: อธิบายความแตกต่างของบุคคล แต่ละรูปร่าง/เชื้อชาติ/ประเทศ เพื่อที่จะได้เลือกใช้เสื้อผ้าได้อย่างเหมาะสม<br> ว 2.1: อธิบายความสัมพันธ์ของแต่ละท้องถิ่นที่มีผลต่อการออกแบบลวดลายของผ้า,ส 2.1: เข้าใจในประเพณีวัฒนธรรมของท้องถิ่น และสามารถเลือกใส่เสื้อผ้าได้อย่างเหมาะสมต่อสภาพท้องถิ่นตามกาลเทศะ<br> ส 4.2: เปรียบเทียบความเหมือนและความแตกต่างทางวัฒนธรรมของคนแต่ละท้องถิ่นที่มีผลต่อการเลือกใช้ผ้า การออกแบบเสื่อผ้า ลวดลายของผ้า และรูปแบบของการตัดเย็บเสื้อผ้า,ง 1.1: ใช้ จัดเก็บและบำรุงรักษาเครื่องมือ เครื่องใช้ วัสดุ และอุปกรณ์ที่ใช้ในการทำงานตามคำแนะนำได้ถูกต้อง เลือกใช้ผ้าทำความสะอาด ซัก รีด จัดเก็บ และซ่อมแซมเสื้อผ้าได้อย่างถูกต้อง,พ 4.1:รู้และเข้าใจ และมีทักษะ ในการเลือกใช้เสื้อผ้า ผลิตภัณฑ์จากผ้าเพื่อสุขภาพ และปฏิเสธสิ่งที่เ็นผลเสียต่อสุขภาพ ตลอดทั้งอภิปราย พูดนำเสนอเกี่ยวกับประโยชน์จากการใช้ และดูแลเสื้อผ้าเพื่อการมีสุขภาพที่ดี,
1,1. ผ้าคืออะไร,1.1 ความหมายและความสำคัญ <br> 1.2 วิวัฒนาการ<br>1.3 เส้นใย<br>1.4 ประเภทและชนิดของผ้า<br>1.5 วิธีการทอผ้า,1,ว 2.1: เข้าใจว่าเสื้อผ้าเครื่องนุ่งห่ม เป็นปัจจัยสำคัญต่อการดำรงชีวิต<br> ว 2.2: เข้าใจสิ่งแวดล้อมท้องถิ่น ก่อให้เกิดแหล่งที่มาของผ้า ตระหนักถึงความสัมพันธ์ระหว่างสิ่งมีชีวิตต่างๆในระบบนิเวศและอนุรักษ์แหล่งวัตถุดิบในการทอผ้าตามธรรมชาติได้ สามารถอภิปรายและนำเสนอการใช้<br>ทรัพยากรธรรมชาติอย่างประหยัดและคุ้มค่าได้<br>ว 3.1: สามารถจำแนกชนิดและประเภทของผ้าได้่แและคละอธิบายลักษณะคุณสมบัติได้<br>ว 8.1: ตั้งคำถามและค้นหาคำตอบเกี่ยวกับเรื่องผ้าได้ใช้กระบวนการทางวิทยาศาตร์ในการแสวงหาความรู้ แล้วนำเสนอองค์ความรู้ได้,ส 2.1: อธิบายเกี่ยวกับวิวัฒนาการของผ้า ที่เกี่ยวกับสังคมไทย<br> ส 3.1: อธิบายได้ว่าทรัพยากรธรรมชาติที่มีอยู่อย่างจำกัดมีผลต่อการผลิตผ้าและเครื่องนุ่งห่ม<br>ส 4.1: อธิบายวิวัฒนาการของผ้าได้,ง 1.1: เข้าใจการทำงาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทำงาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทำงานร่วมกัน ทักษะการแสวงหาความรู้ และมีเจตคติที่ดีในการทำงาน<br> ง 3.1: เข้าใจธรรมชาติในท้องถิ่นสามารถใช้กระบวนการเทคโนโลยี ความรู้ ภูมิปัญญา จินตนาการ และความคิดอย่างมีระบบในการออกแบบสร้างสรรค์วิธีการทอผ้า,พ 1.1: เข้าใจธรรมชาติของการเจริญเติบโตและพัฒนาการของมนุษย์,
4,4. ผ้ากับการประกอบอาชีพ<br>4.1 ผลิตภัณฑ์จากผ้า<br>4.2 ธุรกิจเกี่ยวกับผ้า,,1,ว 2.1: เข้าใจสิ่งแวดล้อมในท้องถิ่น สามารถสำรวจ ตรวจสอบแหล่งผลิตสินค้าในท้องถิ่นได้<br>ว 3.1: อธิบายการใช้ประโยชน์ของผ้าแต่ละชนิด เพื่อนำมาใช้ในการสร้างสรรค์ชิ้นงานได้ และอภิปรายเกี่ยวกับโทษหรืออันตรายจากการใช้ผ้าแต่ละชนิดที่ไม่เหมาะสมได้<br>ว 8.1 เลือกใช้วัสดุ อุปกรณ์ เครื่องมือที่เหมาะสมในการทำงาน,ส 2.1: เข้าใจหลักธรรมทางพระพุทธศาสนาที่เกี่ยวกับการแบ่งปัน เอื้อเฟื้อ เผื่อแผ่ และการอยู่ร่วมกันอย่างมีความสุขโดยการช่วยเหลือกัน เห็นอกเห็นใจซึ่งกันและกันหรือการดำรงชีวิตอยู่ร่วมกันในสังคม<br>ส 3.2: อธิบายเหตุผลการแข่งขันทางการค้าที่มีผลต่อการกำหนดราคาสินค้า<br>ส 2.1: เข้าใจบทบาทหน้าที่ สิทธิ เสรีภาพ ของตนเองและผู้อื่นในการทำกิจกรรม<br>ส 3.2: เข้าใจเศรษฐกิจที่มีความสัมพันธ์เ่ยวกบธุรกิจผ้า และผลิตภัณฑ์จากผ้า,ง 1.1 เข้าใจความหมาความสำคัญของประโยชน์ วิธีการ ขั้นตอนในการทำงานและสามารถทำงานตามขั้นตอน มีความรับผิดชอบ และขยัน<br>ง 2.1: สร้างสรรค์ผลิตภัณฑ์จากผ้าได้อย่างเหมาะสมและสร้างสรรค์<br>ง 3.1: สร้างชิ้นงานจากจินตนาการได้อย่างสร้างสรรค์<br>ง 4.1: เข้าใจและเห็นคุณค่า มีทักษะที่จำเป็นในการประกอบอาชีพ เน้นแนวทางในการประกอบอาชีพ มีคุณธรรม และเจตคติที่ดีต่ออาชีพ,พ 4.1: เห็นคุณค่าของการเสริมสร้างสุขภาพและบุคลิกภาพ โดยเลือกผ้าที่นำมาสร้างผลิตภัณฑ์ได้เหมาะสม,
5,5. ผ้าในอนาคต<br>5.1 รูปแบบ ลักษณะเสื้อผ้า และการตัดเย็บในอณาคต<br>5.2 ความต้องการเสื้อผ้าของมนุษย์ในอนาคต,,1,ว 2.1: เข้าใจสิ่งแวดล้อมในท้องถิ่น สามารถสำรวจ ตรวจสอบแหล่งผลิตผ้าในท้องถิ่น อภิปรายความสำคัญของผ้าจากอดีต ปัจจุบัน และวิเคราะห์แนวทางของลักษณะของผ้าในอนาคต<br>ว 8.1: แสดงความคิดเห็น และรวบรวมข้อมูลจากลุ่มโดยใช้ทักษะกระบวนการทางวิทยาศาสตร์นำไปสู่การสร้างความรู้ นำเสนอจัดแสดงผลงานโดยอธิบายด้วยวาจา หรือเขียนอธิบายกระบวนการและผลของงานให้ผู้อื่นเข้าใจได้,ส 4.2: เข้าใจพัฒนาการของมนุษย์ที่มีผลต่อความต้องการในการเลือกใช้ผ้าในอนาคต<br>ส 5.2 ตะหนักถึงการเปลี่ยนแปลงของสิ่งแวดล้อมที่มีผลต่อการดำรงชีวิตของมนุษย์,ง 1.1: มีทักษะ กระบวนการทำงานและการจัดการ กรทำงานเป็นกลุ่ม การแสวงหาความรู้ สามารถแก้ปัญหาในการทำงาน รักการทำงาน และมีเจตคติที่ดีต่องาน<br>ง 2.2: เลือกใช้ผ้าในชีวิตประจำวันได้อย่างสร้างสรรค์<br>ง 3.1: ค้นหาข้อมูลอย่างมีขั้นตอน และนำเสนอข้อมูลในลักษณะต่างๆได้อย่างเหมาะสม<br>ง 4.1: เข้าใจ เห็นคุณค่าและใช้กระบวนการเทคโนโลยีสารสนเทศในการสืบค้นข้อมูล การเรียนรู้ การสื่อสาร การแก้ปัญหาโดยคิดคำนึงถึงผลกระทบที่จะเกิดขึ้นในอนาคต,พ 4.1: เห็นคุณค่าของการเลือกใส่เสื้อผ้าที่สะอาด เหมาะสมกับสภาพอากาศ และสภาพแวดล้อมที่เปลี่ยนแปลงไป,
